item,itemLabel,rank,pob,pobLabel,hasCountry,hasAdmin,hasref,refitem,exurl,wmurl,wmproj
Q109657125,Taniela Fusimalohi,,,,,,false,,,,
Q109661097,Tatafu Moeaki,,,,,,false,,,,
Q110243150,Sevenitini Toumoʻua,,,,,,false,,,,
Q16194844,Tonga Tuʻiʻafitu,,,,,,false,,,,
Q16929585,Mataʻiʻulua ‘i Fonuamotu,,,,,,false,,,,
Q19605129,Mateni Tapueluelu,,,,,,false,,,,
Q19631293,Hu'akavameiliku,,,,,,false,,,,
Q208497,Tupou VI of Tonga,NormalRank,Q2992825,Royal Palace,true,true,true,false,false,false,true
Q227716,George Tupou V of Tonga,NormalRank,Q620452,Tongatapu,true,true,true,false,false,false,true
Q25701258,Lord Nuku,,,,,,false,,,,
Q25701935,Tupou Tongapoʻuli Aleamotuʻa,,,,,,false,,,,
Q273739,Tāufaʻāhau Tupou IV of Tonga,NormalRank,Q2992825,Royal Palace,true,true,false,,,,
Q28910910,‘Akosita Lavulavu,NormalRank,Q678,Tonga,true,false,true,false,false,true,true
Q31827675,Sione Siale Fohe,,,,,,false,,,,
Q319953,Feleti Sevele,NormalRank,Q38834,Nuku'alofa,true,false,true,false,false,false,true
Q3470867,Samiu Vaipulu,,,,,,false,,,,
Q3485136,Lord Maʻafu,NormalRank,Q23022146,Kingdom of Tonga,true,false,true,false,false,true,true
Q3519291,Tevita Poasi Tupou,,,,,,false,,,,
Q3567558,"Malakai Fakatoufifita, 15th Lord Tuʻilakepa",,,,,,false,,,,
Q3594634,ʻAkilisi Pohiva,NormalRank,Q5431446,Fakakakai,true,true,false,,,,
Q3594635,ʻAlipate Tuʻivanuavou Vaea,,,,,,false,,,,
Q42509756,'Alisi Afeaki Taumoepeau,,,,,,false,,,,
Q48778102,Pohiva Tuʻiʻonetoa,NormalRank,Q678,Tonga,true,false,true,false,false,false,true
Q5134552,Clive Edwards,,,,,,false,,,,
Q5431894,Falisi Tupou,,,,,,false,,,,
Q5437258,"Fatafehi Fakafānua, 8th Lord Fakafānua",,,,,,false,,,,
Q5441615,Fekitamoeloa 'Utoikamanu,,,,,,false,,,,
Q55238056,Losaline Ma'asi,,,,,,false,,,,
Q5683504,Havea Hikule‘o ‘oPulotu,,,,,,false,,,,
Q6225541,John Cauchi,,,,,,false,,,,
Q6379181,Kaveinga Faʻanunu,,,,,,false,,,,
Q6558877,Lisiate ‘Akolo,,,,,,false,,,,
Q6928173,Moʻale Finau,,,,,,false,,,,
Q7036716,Nikotimasi Fatafehi Laufilitonga Kakau Vaha'i,,,,,,false,,,,
Q70515784,Sione Vuna Fa’otusia,,,,,,false,,,,
Q7449656,Semisi Sika,NormalRank,Q678,Tonga,true,false,true,false,false,false,true
Q7449658,Semisi Tapueluelu,,,,,,false,,,,
Q7525389,Sione Ngongo Kioa,,,,,,false,,,,
Q7525391,Sione Sangster Saulala,,,,,,false,,,,
Q7525392,Sione Taione,,,,,,false,,,,
Q7525417,Siosifa Tuʻitupou Tuʻutafaiva,,,,,,false,,,,
Q7531909,Sitiveni Halapua,,,,,,false,,,,
Q7563830,Sosefo Fe‘aomoeata Vakata,,,,,,false,,,,
Q7707162,Tevita Hala Palefau,,,,,,false,,,,
Q7930213,Viliami Latu,,,,,,false,,,,
Q7930216,Viliami Tangi,,,,,,false,,,,
Q8083950,ʻAisake Eke,,,,,,false,,,,
Q8083951,ʻAna Taufeʻulungaki,,,,,,false,,,,
Q8083956,ʻIsileli Pulu,,,,,,false,,,,
Q8084044,‘Etuate Lavulavu,,,,,,false,,,,
Q808685,Baron Vaea,NormalRank,Q678,Tonga,true,false,true,false,false,false,true
Q96278954,Saia Piukala,,,,,,false,,,,
Q96314730,‘Amelia Afuha’amango Tu’ipulotu,,,,,,false,,,,
Q96362710,Veivosa Taka,,,,,,false,,,,
Q96470811,Penisimani Fifita,,,,,,false,,,,
Q96476105,Siaosi Pōhiva,,,,,,false,,,,
Q96479418,Poasi Tei,,,,,,false,,,,
Q96479582,Vatau Hui,,,,,,false,,,,
Q96482295,Semisi Fakahau,,,,,,false,,,,
Q96574147,Tevita Lavemaau,,,,,,false,,,,
Q96574317,Tevita Tu'i Uata,,,,,,false,,,,
Q96592493,Viliami Hingano,,,,,,false,,,,
Q57880,Sialeʻataongo Tuʻivakanō,NormalRank,Q15262408,Niutoua,true,false,true,false,false,true,true
